Date,CL1 Comdty,CL2 Comdty_PX_LAST,CL2 Comdty_PX_HIGH,CL2 Comdty_PX_LOW,CO1 Comdty_PX_LAST,CO1 Comdty_PX_HIGH,CO1 Comdty_PX_LOW,CO2 Comdty_PX_LAST,CO2 Comdty_PX_HIGH,CO2 Comdty_PX_LOW,C 1 Comdty_PX_LAST,C 1 Comdty_PX_HIGH,C 1 Comdty_PX_LOW,C 2 Comdty_PX_LAST,C 2 Comdty_PX_HIGH,C 2 Comdty_PX_LOW,W 1 Comdty_PX_LAST,W 1 Comdty_PX_HIGH,W 1 Comdty_PX_LOW,W 2 Comdty_PX_LAST,W 2 Comdty_PX_HIGH,W 2 Comdty_PX_LOW,S 1 Comdty_PX_LAST,S 1 Comdty_PX_HIGH,S 1 Comdty_PX_LOW,S 2 Comdty_PX_LAST,S 2 Comdty_PX_HIGH,S 2 Comdty_PX_LOW,SB1 Comdty_PX_LAST,SB1 Comdty_PX_HIGH,SB1 Comdty_PX_LOW,SB2 Comdty_PX_LAST,SB2 Comdty_PX_HIGH,SB2 Comdty_PX_LOW,HG1 Comdty_PX_LAST,HG1 Comdty_PX_HIGH,HG1 Comdty_PX_LOW,HG2 Comdty_PX_LAST,HG2 Comdty_PX_HIGH,HG2 Comdty_PX_LOW,CPC3BOM SSYF Index_PX_LAST,CPC3BOM SSYF Index_PX_HIGH,CPC3BOM SSYF Index_PX_LOW,CPC3M1 SSYF Index,CPC5BOM SSYF Index,CPC5M1 SSYF Index,CPC7BOM SSYF Index,CPC7M1 SSYF Index,FP2ABOM SSYF Index,FP2AM1 SSYF Index,FP3ABOM SSYF Index,FP3AM1 SSYF Index,P4TCBOM SSYF Index,P4TCM1 SSYF Index,S58FBOM SSYF Index,S58FM1 SSYF Index,DD3FBOM COMT SSYF Index,DD3FM1 COMT SSYF Index,DD7FBOM COMT SSYF Index,DD7FM1 COMT SSYF Index,DD20BOM COMT SSYF Index,DD20M1 COMT SSYF Index,CD2FBOM COMT SSYF Index,CD2FM1 COMT SSYF Index,CD5FBOM COMT SSYF Index,CD5FM1 COMT SSYF Index,CD6FBOM COMT SSYF Index,CD6FM1 COMT SSYF Index,COO1 Comdty,FCS1 Comdty,FEW1 Comdty,FRY1 Comdty,HVE1 Comdty,IJE1 Comdty,JOE1 Comdty,LDA1 Comdty,RND1 Comdty,TCW1 Comdty,TCE1 Comdty,FRT1 Comdty,LW1 Comdty,EURUSD Curncy_PX_LAST,EURUSD Curncy_PX_HIGH,EURUSD Curncy_PX_LOW,GBPUSD Curncy_PX_LAST,GBPUSD Curncy_PX_HIGH,GBPUSD Curncy_PX_LOW,AUDUSD Curncy_PX_LAST,AUDUSD Curncy_PX_HIGH,AUDUSD Curncy_PX_LOW,NZDUSD Curncy_PX_LAST,NZDUSD Curncy_PX_HIGH,NZDUSD Curncy_PX_LOW,USDCAD Curncy_PX_LAST,USDCAD Curncy_PX_HIGH,USDCAD Curncy_PX_LOW,USDCHF Curncy_PX_LAST,USDCHF Curncy_PX_HIGH,USDCHF Curncy_PX_LOW,USDJPY Curncy_PX_LAST,USDJPY Curncy_PX_HIGH,USDJPY Curncy_PX_LOW,USDNOK Curncy_PX_LAST,USDNOK Curncy_PX_HIGH,USDNOK Curncy_PX_LOW,USDSEK Curncy_PX_LAST,USDSEK Curncy_PX_HIGH,USDSEK Curncy_PX_LOW,USDBRL Curncy_PX_LAST,USDBRL Curncy_PX_HIGH,USDBRL Curncy_PX_LOW,USDINR Curncy_PX_LAST,USDINR Curncy_PX_HIGH,USDINR Curncy_PX_LOW,USDMXN Curncy_PX_LAST,USDMXN Curncy_PX_HIGH,USDMXN Curncy_PX_LOW,USDCNY Curncy_PX_LAST,USDCNY Curncy_PX_HIGH,USDCNY Curncy_PX_LOW
10/26/2020,38.56,38.89,40.04,38.61,40.46,41.63,40.22,40.81,41.92,40.59,417.75,419.75,412.75,418.5,420,414.25,620,633,616,620.25,632.75,616.25,1087.75,1089.75,1078,1083.5,1087.75,1075.25,14.77,14.85,14.37,13.98,14.02,13.67,308.95,314.3,307.7,309.05,314.2,307.85,19,19,19,17,8.75,8.05,11.45,9.65,18250,19500,10350,11250,10750,11075,10750,10450,7.22,7.99,5.98,6.37,6.28,7.13,12.7,14.51,17.67,19.79,6.27,8.22,19.17,8.74,11.69,23919,10833,18646,10838,10775,10786,11.8844,16.7541,12.8711,236.991,1.1816,1.1861,1.1803,1.3023,1.3075,1.2993,0.7121,0.7146,0.7103,0.6679,0.6698,0.6671,1.3213,1.3225,1.3126,0.9072,0.908,0.9041,104.86,105.06,104.66,9.2468,9.3225,9.2183,8.748,8.7876,8.7318,5.6208,5.6978,5.6004,73.9645,74.1146,73.6925,20.9868,21.1332,20.8744,6.7123,6.7157,6.6786
10/23/2020,39.85,40.15,41.21,39.88,41.77,42.8,41.5,42.07,43.09,41.82,419.25,420,414,420.25,421.75,416.5,632.75,635.5,619.5,632.5,635,620.25,1083.75,1088.5,1065.75,1081,1086,1064.75,14.72,14.88,14.59,13.99,14.11,13.87,312.9,316.45,312.45,312.95,316.1,312.65,19,19,19,17,8.75,8.05,11.45,9.65,18250,19500,10350,11250,10750,11075,10750,10450,7.48,8.3,5.98,6.37,6.28,7.48,12.52,13.99,17.26,19.71,6.48,8.5,19.27,8.78,11.71,24084,10917,18533,10838,10756,10800,11.7264,16.8657,12.8711,238.648,1.1843,1.186,1.1787,1.3032,1.3122,1.3019,0.7119,0.7158,0.7101,0.6677,0.6705,0.6656,1.3148,1.316,1.311,0.9053,0.9092,0.9034,104.74,104.94,104.55,9.259,9.296,9.1989,8.7718,8.7942,8.734,5.6177,5.6354,5.4996,73.843,73.8876,73.475,20.8983,21.041,20.8636,6.6868,6.6929,6.664
10/22/2020,40.64,40.94,41.31,40,42.46,42.79,41.46,42.78,43.12,41.81,416.25,419,410.75,418.25,420.75,413.25,622.75,632.25,621.25,623.75,632.5,622.5,1073.75,1085.25,1063.5,1072.25,1083.75,1063,14.78,14.94,14.47,14.07,14.17,13.82,315.35,319.6,314.25,315.35,319.15,314.15,19,19,19,17,8.75,8.05,11.45,9.65,18250,19500,10350,11250,10750,11075,10750,10450,7.36,8.4,5.98,6.37,6.48,7.58,12.08,14.08,17.91,20.25,6.27,8.36,19.27,8.78,11.71,24353,10917,18492,10838,10750,10807,11.403,16.8991,12.8711,240.298,1.1822,1.1877,1.1812,1.3096,1.3169,1.3071,0.7116,0.7133,0.7085,0.6682,0.6683,0.6632,1.3138,1.3177,1.3117,0.9073,0.908,0.9041,104.81,104.88,104.47,9.2503,9.2605,9.1934,8.7754,8.786,8.7092,5.5734,5.6476,5.5545,73.665,73.9935,73.5245,20.9975,21.2261,20.9755,6.6846,6.6898,6.6451
10/21/2020,40.03,40.31,41.85,40.07,41.73,43.04,41.45,42.07,43.38,41.81,413.75,415.25,407.75,416.75,418.5,412,629.75,637.5,628.75,631.25,637.75,630,1072,1077,1064.25,1071.5,1076.5,1063.75,14.5,14.59,14.3,13.83,13.93,13.69,319.85,321.8,314.05,319.45,321.05,313.9,19,19,19,16.25,8.65,7.65,11.45,9.35,18250,19500,10450,11250,10650,10750,10700,10250,7.38,8.54,5.98,6.37,6.48,7.54,12.44,14.17,17.91,20.25,6.21,8.36,19.27,8.74,11.73,24084,11000,18492,10838,10750,10807,11.3898,16.9382,12.8711,237.834,1.1874,1.1881,1.182,1.3157,1.3177,1.2931,0.713,0.7137,0.7045,0.6672,0.6678,0.6575,1.3125,1.314,1.3081,0.9043,0.9072,0.9031,104.51,105.57,104.34,9.2018,9.3241,9.1787,8.7165,8.7546,8.7023,5.6029,5.6963,5.5484,73.586,73.7625,73.3575,21.0769,21.1553,20.9879,6.651,6.6714,6.6414
10/20/2020,41.46,41.7,41.9,40.46,43.16,43.3,42.19,43.53,43.67,42.58,408.75,409.75,403.5,413.25,414,408.75,632,638.25,623.5,632,636.5,622.75,1064,1065.75,1051.25,1063.75,1065.5,1051.25,14.54,14.74,14.51,13.89,14.01,13.86,314.8,317.05,307.3,314.6,316.75,307.6,19,19,19,16.25,8.65,7.65,11.45,9.35,18250,19500,10450,11250,10650,10750,10700,10250,7.31,8.47,5.98,6.37,6.5,7.74,12.44,14.19,18.04,20.58,6.27,8.36,19.23,8.71,11.73,23678,11250,18458,10813,10725,10779,11.4048,16.9382,12.8991,239.649,1.1827,1.1841,1.176,1.294,1.2987,1.2911,0.7061,0.7091,0.7021,0.6585,0.663,0.6553,1.3116,1.3204,1.3113,0.9071,0.911,0.9055,105.57,105.75,105.35,9.269,9.3546,9.2489,8.7456,8.842,8.7414,5.5665,5.6946,5.5561,73.4725,73.5725,73.2927,21.0935,21.2952,21.045,6.6767,6.6935,6.6761
10/19/2020,40.83,41.06,41.46,40.77,42.62,43.23,42.36,42.98,43.55,42.74,405.25,406.75,400.75,410.5,411.25,405.5,627,636.75,620.25,626,633,619,1054.25,1058.25,1047.75,1054,1058.75,1048.25,14.72,14.75,14.36,14.01,14.03,13.73,308.6,310.8,305.7,308.65,310.5,305.8,19,19,19,16.25,8.65,7.75,11.45,9.25,18750,19750,10450,11250,10725,10600,10700,10250,7.38,8.49,5.98,6.37,6.09,7.21,13.21,14.42,18.04,20.78,6.21,8.36,19.33,8.69,11.83,23234,12333,19167,10813,10728,10721,11.438,16.9884,12.8361,237.927,1.1782,1.1794,1.1703,1.2982,1.3025,1.2891,0.7087,0.7115,0.7073,0.6628,0.6646,0.6602,1.3158,1.3196,1.3151,0.9095,0.9165,0.909,105.42,105.5,105.3,9.3034,9.3843,9.2692,8.812,8.8993,8.7817,5.5759,5.7023,5.5658,73.353,73.4654,73.2285,21.1806,21.2125,21.0489,6.683,6.7035,6.682
10/16/2020,40.88,41.12,41.3,40.34,42.93,43.21,42.27,43.27,43.56,42.62,402,409,401.75,407,412.25,406,625.25,630.75,615.5,623.5,629.5,615.5,1050,1070.75,1048.75,1050.25,1071,1049.5,14.43,14.46,14.15,13.8,13.83,13.63,306.75,309.6,305.55,307.05,309.75,305.9,20,20,20,16.5,8.85,7.75,12,10,19000,19750,10450,11250,10750,10450,10725,10250,7.4,8.43,5.98,6.37,6.58,7.79,12.6,14.36,18.04,20.38,5.96,7.98,19.67,8.75,12.01,23644,12333,19250,10875,10700,10743,11.6054,16.9884,12.8361,237.534,1.1719,1.1746,1.1693,1.2924,1.2962,1.2865,0.7086,0.7098,0.7071,0.6611,0.6619,0.6587,1.318,1.3238,1.3177,0.9154,0.9163,0.9123,105.4,105.49,105.19,9.3533,9.4458,9.3233,8.8416,8.8894,8.8126,5.633,5.7469,5.5489,73.4345,73.5101,73.2605,21.1558,21.3511,21.1312,6.6976,6.7252,6.6946
10/15/2020,40.96,41.24,41.57,39.52,43.16,43.48,41.56,43.52,43.85,41.96,403.75,404.25,393.5,408,408.75,399.5,618.25,619.5,596.5,619.5,620.5,600.25,1062.25,1064.25,1037.25,1062,1064,1038.25,14.18,14.49,14.02,13.66,13.86,13.53,308.55,309.35,302.45,309.1,309.7,303.3,20,20,20,16.5,8.85,7.7,12,10,19000,19750,10450,11250,10650,10525,10750,10250,7.72,8.98,5.98,6.37,6.44,7.69,12.24,14.14,18.16,20.32,6.27,8.57,20.17,8.83,12.1,23900,12417,20286,11000,10681,10743,11.053,17.1111,12.8361,237.271,1.1697,1.1758,1.1689,1.2922,1.3034,1.2891,0.7086,0.717,0.7056,0.6592,0.6664,0.6576,1.323,1.3259,1.3138,0.9146,0.9156,0.9124,105.39,105.44,105.07,9.3668,9.4111,9.2149,8.8699,8.8949,8.8147,5.5949,5.6974,5.4284,73.4325,73.5205,73.207,21.3304,21.5281,21.284,6.7254,6.7353,6.7143
10/14/2020,41.04,41.34,41.43,40.12,43.32,43.45,42.13,43.7,43.82,42.56,396.5,397.5,388,402.5,403.25,395.75,596.75,600.25,587.25,600.75,603.5,591,1056.25,1059.75,1039.75,1057.25,1060.5,1042.25,14.2,14.26,13.93,13.71,13.77,13.5,305.05,306.85,303.8,305.9,307.45,304.55,20.75,20.75,20.75,19.25,8.95,7.85,12.25,10.25,20125,20375,11250,11250,10825,10850,10775,10300,7.12,8.25,6.05,6.43,6.79,7.91,11.93,15.05,18.41,20.87,6.62,8.71,21.1,8.94,12.26,24691,12417,20521,11000,10944,10764,10.9638,17.3119,12.8361,236.737,1.1751,1.1771,1.172,1.3016,1.3064,1.2863,0.7164,0.7191,0.715,0.6657,0.6682,0.664,1.3144,1.3163,1.3117,0.9129,0.9163,0.9113,105.15,105.56,105.04,9.2272,9.2736,9.182,8.827,8.8425,8.7959,5.5787,5.7962,5.5358,73.2739,73.4725,73.1954,21.3399,21.4498,21.248,6.7151,6.7479,6.7132
10/13/2020,40.2,40.49,40.79,39.65,42.45,42.68,41.66,42.9,43.13,42.15,391.25,392.75,388,399.25,400.25,395.5,594,604.25,590.75,597.25,606.5,594.25,1044,1046,1032.5,1047,1048.75,1035.5,14.01,14.15,13.85,13.58,13.69,13.41,304.45,306.7,302.65,305.15,307.1,303.35,20.75,20.75,20.75,19.25,9,8,12.25,10.25,21175,21050,11250,11250,11400,11725,10850,10725,7.12,8.25,6.05,6.43,6.79,7.91,11.93,15.05,18.41,20.87,6.62,8.71,21.38,9.05,12.34,26078,12533,20918,11088,11416,10864,10.9638,17.3119,12.8816,232.721,1.1735,1.1816,1.1731,1.2958,1.3072,1.2953,0.716,0.7218,0.7156,0.6643,0.6671,0.6629,1.3132,1.3147,1.3099,0.9151,0.9154,0.9089,105.54,105.63,105.28,9.2335,9.2353,9.1276,8.8237,8.8282,8.7563,5.5664,5.6257,5.3487,73.4148,73.4746,73.1615,21.3323,21.472,21.1514,6.7464,6.7608,6.7332
